ID,estuary,tran,plot,RTKele,MLLW,MHHW,TR,filter2,elrelHW
183,Lower_Laguna_Madre,7,93,-0.113,-0.1161,0.0906,0.2067,0,-0.203605
184,Lower_Laguna_Madre,7,94,0.106,-0.1161,0.0906,0.2067,0,0.0153949
185,Lower_Laguna_Madre,7,95,0.122,-0.1161,0.0906,0.2067,1,0.0313949
186,Lower_Laguna_Madre,7,96,0.13,-0.1161,0.0906,0.2067,1,0.0393949
187,Lower_Laguna_Madre,7,97,0.119,-0.1161,0.0906,0.2067,1,0.0283949
188,Lower_Laguna_Madre,7,98,0.098,-0.1161,0.0906,0.2067,1,0.00739488
189,Lower_Laguna_Madre,7,99,0.126,-0.1161,0.0907,0.2068,1,0.0353189
190,Lower_Laguna_Madre,7,100,0.113,-0.1161,0.0907,0.2068,1,0.0223189
191,Lower_Laguna_Madre,7,101,0.162,-0.1168,0.0907,0.2074,1,0.0713189
192,Lower_Laguna_Madre,7,102,0.209,-0.1168,0.0907,0.2074,1,0.118319
193,Lower_Laguna_Madre,7,103,0.237,-0.1168,0.0907,0.2074,1,0.146319
194,Lower_Laguna_Madre,7,104,0.371,-0.1168,0.0907,0.2074,1,0.280319
195,Lower_Laguna_Madre,7,105,0.626,-0.1168,0.0907,0.2074,0,0.535319
196,Lower_Laguna_Madre,7,106,0.591,-0.1168,0.0907,0.2074,0,0.500319
197,Lower_Laguna_Madre,7,107,0.674,-0.1168,0.0907,0.2074,0,0.583319
198,Mission-Aransas_Bay,1,1,-0.004,0.0814,0.2878,0.2065,0,-0.291833
199,Mission-Aransas_Bay,1,2,0.037,0.0814,0.2878,0.2065,0,-0.250833
200,Mission-Aransas_Bay,1,3,0.085,0.0814,0.2878,0.2065,0,-0.202833
201,Mission-Aransas_Bay,1,4,0.148,0.0814,0.2878,0.2065,1,-0.139833
202,Mission-Aransas_Bay,1,5,0.224,0.0814,0.2878,0.2065,1,-0.0638327
203,Mission-Aransas_Bay,1,6,0.333,0.0814,0.2878,0.2065,1,0.0451673
204,Mission-Aransas_Bay,1,7,0.358,0.0814,0.2878,0.2065,1,0.0701673
205,Mission-Aransas_Bay,1,8,0.398,0.0814,0.2878,0.2065,1,0.110167
206,Mission-Aransas_Bay,1,9,0.388,0.0814,0.2878,0.2065,1,0.100167
207,Mission-Aransas_Bay,1,10,0.376,0.0814,0.2878,0.2065,1,0.0881673
208,Mission-Aransas_Bay,1,11,0.362,0.0814,0.2878,0.2065,1,0.0741673
209,Mission-Aransas_Bay,1,12,0.331,0.0814,0.2878,0.2065,1,0.0431673
210,Mission-Aransas_Bay,1,13,0.273,0.0814,0.2878,0.2065,1,-0.0148327
211,Mission-Aransas_Bay,1,14,0.272,0.0814,0.2878,0.2065,1,-0.0158327
212,Mission-Aransas_Bay,2,15,-0.041,-0.043,0.283,0.326,0,-0.323988
213,Mission-Aransas_Bay,2,16,0.14,-0.043,0.2775,0.3205,0,-0.137478
214,Mission-Aransas_Bay,2,17,0.358,-0.043,0.2775,0.3205,1,0.0805223
215,Mission-Aransas_Bay,2,18,0.465,-0.043,0.2775,0.3205,1,0.187522
216,Mission-Aransas_Bay,2,19,0.318,-0.043,0.2775,0.3205,1,0.0405223
217,Mission-Aransas_Bay,2,20,0.291,-0.043,0.2775,0.3205,1,0.0135223
218,Mission-Aransas_Bay,2,21,0.307,-0.043,0.2775,0.3205,1,0.0295223
219,Mission-Aransas_Bay,2,22,0.263,-0.043,0.2775,0.3205,1,-0.0144777
220,Mission-Aransas_Bay,3,23,-0.086,-0.0286,0.2705,0.2991,0,-0.356532
221,Mission-Aransas_Bay,3,24,0.024,-0.0286,0.2705,0.2991,0,-0.246532
222,Mission-Aransas_Bay,3,25,0.263,-0.0286,0.2705,0.2991,1,-0.00753157
223,Mission-Aransas_Bay,3,26,0.237,-0.0286,0.273,0.3016,1,-0.0360076
